date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:23	0/-1	---M--	302	error ('')			https://www.google.de/setprefdomain?prefdom=US&sig=__UMkyGWs_tgBIW6AKWrblhGeYZDA%3D	/home/benjamin/websites/google/www.google.de/setprefdomain.f49ee.delayed	(from https://www.google.de/webhp?tab=ww)
12:01:23	39410/39410	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:23%20GMT	https://www.google.de/webhp?tab=iw	/home/benjamin/websites/google/www.google.de/webhpbea3.html	(from https://www.google.de/imghp?hl=de&tab=wi)
12:01:23	39205/39205	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:23%20GMT	https://www.google.de/imghp?hl=de&tab=ii	/home/benjamin/websites/google/www.google.de/imghp59d9.html	(from https://www.google.de/imghp?hl=de&tab=wi)
12:01:25	61981/61981	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:23%20GMT	http://www.google.de/shopping?hl=de&tab=if	/home/benjamin/websites/google/www.google.de/shoppingfc38.html	(from https://www.google.de/imghp?hl=de&tab=wi)
12:01:25	1830/1830	---M-Z	200	added ('OK')	text/plain	date:Thu,%2001%20Mar%202018%2018:00:00%20GMT	http://www.google.de/robots.txt		(from https://www.google.de/)
12:01:25	5482/5482	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Dec%202016%2001:00:57%20GMT	https://www.google.de/intl/en_ALL/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	/home/benjamin/websites/google/www.google.de/intl/en_ALL/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	(from https://www.google.de/imghp?hl=de&tab=wi)
12:01:26	185/185	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Dec%202016%2001:00:57%20GMT	http://www.google.de/images/experiments/wavy-underline.png	/home/benjamin/websites/google/www.google.de/images/experiments/wavy-underline.png	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:29	25072/25072	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Dec%202016%2012:30:00%20GMT	http://www.google.de/images/srpr/nav_logo230.png	/home/benjamin/websites/google/www.google.de/images/srpr/nav_logo230.png	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:29	351168/351168	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Mar%202018%2015:00:00%20GMT	https://www.google.de/intl/de/about/products/	/home/benjamin/websites/google/www.google.de/intl/de/about/products/index.html	(from https://www.google.de/intl/de/options/)
12:01:29	205289/205289	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:25%20GMT	https://www.google.de/advanced_image_search?hl=de&authuser=0	/home/benjamin/websites/google/www.google.de/advanced_image_search7f9d.html	(from https://www.google.de/imghp?hl=de&tab=wi)
12:01:29	231/231	---M--	302	error ('Found')	text/html	date:Mon,%2026%20Mar%202018%2010:01:26%20GMT	https://www.google.de/search?tab=fw	/home/benjamin/websites/google/www.google.de/search.17b853.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:30	267/267	---M--	302	error ('Found')	text/html	date:Mon,%2026%20Mar%202018%2010:01:29%20GMT	http://www.google.de/search?hl=de&tbm=isch&source=og&tab=fi	/home/benjamin/websites/google/www.google.de/search.19f215.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:30	39204/39204	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:30%20GMT	http://www.google.de/imghp?hl=de&tbm=isch&source=og&tab=fi	/home/benjamin/websites/google/www.google.de/imghpf215.html	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:30	276/276	---M--	302	error ('Found')	text/html	date:Mon,%2026%20Mar%202018%2010:01:30%20GMT	http://www.google.de/search?hl=de&tbo=u&tbm=bks&source=og&tab=fp	/home/benjamin/websites/google/www.google.de/search.1bdbd9.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:30	39401/39401	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:29%20GMT	https://www.google.de/webhp?tab=fw	/home/benjamin/websites/google/www.google.de/webhpb853.html	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:31	39305/39305	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:31%20GMT	http://www.google.de/webhp?hl=de&tbo=u&tbm=bks&source=og&tab=fp	/home/benjamin/websites/google/www.google.de/webhpdbd9.html	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:32	276/276	---M--	302	error ('Found')	text/html	date:Mon,%2026%20Mar%202018%2010:01:31%20GMT	http://www.google.de/search?hl=de&tbo=u&tbm=vid&source=og&tab=fv	/home/benjamin/websites/google/www.google.de/search.1e2bff.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
